Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.52037811279297,36.14888882470834,34.13003623491957,35.76797324172932,53228400
2000-01-04,34.32049560546875,35.69179176728548,34.20622092531735,34.606182305847234,54119000
2000-01-05,34.682342529296875,35.46321899481097,33.33009304023587,33.86337452887965,64059600
2000-01-06,33.52055740356445,34.70139522119002,33.025367351011795,34.18715939738534,54976600
2000-01-07,33.9586067199707,34.2062017212941,32.70158594402114,33.10154710000509,62013600
2000-01-10,34.20623016357422,34.64428322246186,33.93958917120783,34.56810008178575,44963600
2000-01-11,33.33011245727539,34.815683183942525,33.12060889325823,33.977668927873886,46743600
2000-01-12,32.2445068359375,33.17775009344544,31.8254996590972,33.063475408852625,66532400
2000-01-13,32.85397720336914,33.10157239388728,30.930353030882017,31.806459089638526,83144000
2000-01-14,34.20623016357422,34.72046636313797,32.22546850599531,32.663521564882956,73416400
2000-01-18,35.13946533203125,35.50133516471883,34.05385583396849,34.07290161463626,81483600
2000-01-19,32.60637664794922,33.97767286211531,32.301644155912314,33.6729403700784,97568200
2000-01-20,32.301639556884766,33.42534046128111,32.26354800080353,32.62541778357524,56349800
2000-01-21,31.61599349975586,32.6825571358922,31.463627266022097,32.60637401902532,68416200
2000-01-24,30.854154586791992,32.20640457176867,30.72083416573795,31.630269895070864,63597600
2000-01-25,31.330310821533203,31.654089109658468,30.339930175502975,30.777983153554807,59823200
2000-01-26,30.282785415649414,31.539806697053727,30.206602307685515,31.21602848820716,49365000
2000-01-27,30.09233283996582,30.835118270825735,29.63523411328279,30.439918330047703,63654800
2000-01-28,29.939970016479492,30.54943505498289,29.63523749722779,29.901878451573026,58225400
2000-01-31,29.825685501098633,29.920914382008913,28.91148824435998,29.749502396370413,73194200
2000-02-01,31.36840057373047,31.46362947650439,29.76855500712855,30.01615015434075,70196600
2000-02-02,30.720848083496094,31.67313723673528,30.62561916817218,31.216038443180473,49915600
2000-02-03,31.577917098999023,31.749329194228814,30.511352950902555,31.101772390027385,49186000
2000-02-04,32.473045349121094,32.91109816028226,31.735021591186523,31.806443245180194,55365400
2000-02-07,32.492095947265625,32.56827905616895,31.768356412684092,32.54923327894311,40005800
2000-02-08,33.50151443481445,33.52056020765971,32.43495115547982,32.43495115547982,56229000
2000-02-09,31.69217872619629,33.349161628347176,31.654087165227303,33.349161628347176,55090000
2000-02-10,32.301639556884766,32.47305155925031,31.23507598661027,31.658844548013974,54527800
2000-02-11,30.45418357849121,31.95879927749109,30.20658859004819,31.95879927749109,115559000
2000-02-14,30.358970642089844,31.006527104970058,30.18755863720979,30.849399433830005,81028600
2000-02-15,30.035202026367188,30.473255067969244,29.901881535444822,30.397071930299322,71027600
2000-02-16,29.749500274658203,30.530377042430924,29.597134076068407,30.244690420075052,65202600
2000-02-17,30.358970642089844,30.378016420409853,29.601900953869603,30.016146632329736,80343400
2000-02-18,28.968631744384766,30.492294163550298,28.911494403666055,30.47324838331073,79063000
2000-02-22,28.587718963623047,29.597145416036117,28.282986449687023,28.987680388164073,66296200
2000-02-23,28.72104263305664,29.1781414548029,28.05444018467668,28.492493222183512,75847200
2000-02-24,28.87339973449707,29.216223741898748,28.03538549418185,28.72103350898521,69733200
2000-02-25,27.82588005065918,28.859113447475238,27.578284950961326,28.85435200325028,65301400
2000-02-28,27.902061462402344,28.07347344408263,26.854543796578362,27.502100171815005,76131800
2000-02-29,27.235469818115234,27.959209575519697,27.08310355339851,27.959209575519697,58437400
2000-03-01,27.67353057861328,28.673434470820574,27.102156925923396,27.311660598576353,106889800
2000-03-02,28.454404830932617,29.063869994647373,27.76875652175352,27.978260171780466,106932600
2000-03-03,29.29239845275879,30.130412452707674,28.60675063461879,28.873391452784343,101435200
2000-03-06,27.61638832092285,29.67333310620538,27.464022040531553,29.254325835129308,93609400
2000-03-07,28.302038192749023,29.711426366546753,28.016351400762996,29.292419071633915,135061000
2000-03-08,29.120994567871094,29.311452347909494,27.730652773590787,28.587712783763582,94290000
2000-03-09,30.473247528076172,30.47324752807617,28.949585151672363,29.044814050197598,88198800
2000-03-10,30.77797508239746,31.23507372223505,30.32087644255988,30.339922219219776,85589000
2000-03-13,29.863771438598633,30.549419252239925,29.711405257789455,29.749496802991747,61831800
2000-03-14,28.987672805786133,30.244694096970026,28.987672805786133,30.054236325578525,73489200
2000-03-15,29.063867568969727,29.44478326450013,28.549631380003685,28.816272366874966,53208000
2000-03-16,29.063867568969727,29.46382904927665,28.41631088656804,29.23527963195841,77300800
2000-03-17,30.282785415649414,30.32087696963136,28.797214810353402,29.025764134245097,81161600
2000-03-20,29.673320770263672,30.397060301245716,29.406679890428187,30.092327867148015,47773000
2000-03-21,31.3112735748291,31.42554829590512,29.406694890228792,29.482878037612803,81648800
2000-03-22,31.463621139526367,32.18736060883751,30.81606477224798,31.330300710969055,93975800
2000-03-23,34.091941833496094,34.396674274465894,32.49209651840466,32.5492338510865,148224000
2000-03-24,34.03480529785156,35.044231532203064,33.387248845626075,34.32049196795104,112196800
2000-03-27,31.71122932434082,32.98729681066565,31.673137757584858,32.83969198948628,111434000
2000-03-28,31.787405014038086,32.739693959934975,31.196985867582015,31.57790144594077,81114400
2000-03-29,32.663490295410156,33.19677176962094,32.034979986518884,32.05402575345499,64363800
2000-03-30,31.501728057861328,33.101573980993344,31.235087070672662,32.35878837382491,64178400
2000-03-31,32.3778190612793,32.98728389066808,31.730262680053713,32.3016359576057,64281400
2000-04-03,27.692548751831055,29.40666800056888,27.425907979805174,28.77815760936501,260118200
2000-04-04,26.987876892089844,28.03539504951041,25.883221380628157,27.90207455674779,181244400
2000-04-05,26.321269989013672,26.96882655893152,26.168903737268298,26.892643433058833,82887600
2000-04-06,26.206998825073242,26.816463914028436,25.98321086272251,26.778372345968734,66421400
2000-04-07,27.14023780822754,27.23546671281781,25.902262048554,26.511727037931742,82613600
2000-04-10,26.226032257080078,27.006909034524,26.20698648202047,27.006909034524,60685400
2000-04-11,25.559436798095703,26.226039099089256,25.445162117925378,25.940352398663446,71961800
2000-04-12,24.188142776489258,25.064248735322725,23.997684959351545,25.026157171895182,153003800
2000-04-13,24.150039672851562,25.06423675825919,24.073856582400925,24.645229760780694,94316200
2000-04-14,22.58829689025879,24.22623410152545,22.3216559488898,24.11195941236731,151217800
2000-04-17,23.121585845947266,23.159677420652283,22.2454796277318,22.626395374782003,119772200
2000-04-18,24.55001449584961,24.969021725414148,23.12158075869777,23.312038590318014,91794600
2000-04-19,23.9786434173584,24.83570374601696,23.807231351626687,24.81665796093566,53715400
2000-04-20,24.054826736450195,24.340513514792836,23.616773676324815,23.959597810335982,52387400
2000-04-24,20.302791595458984,20.72179855146283,19.80760155654535,20.49324930273346,313645800
2000-04-25,21.140817642211914,21.178909205531216,20.607535755741704,20.95035982561541,159517400
2000-04-26,20.721811294555664,21.67410041654811,20.531353470157175,21.331276332630832,107091200
2000-04-27,21.274137496948242,21.31222905916301,20.531352033760253,20.550397814867637,77669800
2000-04-28,21.255090713500977,21.636006317685585,20.797991988479453,21.55982319684866,78082600
