Price,Close,High,Low,Open,Volume
Ticker,SONY,SONY,SONY,SONY,SONY
Date,,,,,
2000-01-03,22.929903030395508,24.189390080994453,22.147259087156645,23.6555328831406,12935000
2000-01-04,22.390857696533203,23.84211699167887,22.390857696533203,23.303078141259903,15098000
2000-01-05,20.732280731201172,21.426811819346913,19.410597834587097,21.395713081900613,15434000
2000-01-06,17.912691116333008,18.824911797496487,17.290722685778025,18.783446286410978,19613000
2000-01-07,19.436508178710938,19.436508178710938,18.373979064941405,18.57611843365058,11220000
2000-01-10,20.732280731201172,20.960335502894885,19.695666694641112,20.960335502894885,11488000
2000-01-11,19.281023025512695,20.317637166669293,19.239559092565493,20.317637166669293,8536000
2000-01-12,18.71088218688965,19.89262148178372,18.16147646560657,19.757862930877167,10951000
2000-01-13,19.0996036529541,19.31210973586276,18.866365616486547,19.31210973586276,4826000
2000-01-14,18.824905395507812,19.358760817481194,18.47245578900615,19.11515596566015,6416000
2000-01-18,19.166990280151367,19.213639170810318,18.690148837641534,18.72124757083174,4615000
2000-01-19,18.690143585205078,18.71605892528946,18.306596868305604,18.405074844276886,2603000
2000-01-20,18.907833099365234,19.073691922696163,18.710877130688353,18.710877130688353,2263000
2000-01-21,19.48833465576172,19.55053210119157,19.02185856027806,19.249913223942944,2584000
2000-01-24,19.353580474853516,20.224337067426784,19.34321528528846,20.037746256036282,3171000
2000-01-25,19.840791702270508,19.840791702270508,19.374315393454612,19.612736934310007,2686000
2000-01-26,20.33836555480957,20.566420309390523,20.08439545125925,20.442026950687037,3777000
2000-01-27,20.462757110595703,20.690813426830612,20.260617722794063,20.524954575341084,2213000
2000-01-28,20.156957626342773,21.250585642848595,20.04811284694457,20.77892598662127,3442000
2000-01-31,20.981063842773438,21.058809882084724,20.421292992431066,20.659714496001786,3141000
2000-02-01,21.012161254882812,21.0588085591898,20.742642617916268,20.975880721198322,2039000
2000-02-02,21.514921188354492,21.520104574053978,21.10545902605099,21.10545902605099,2741000
2000-02-03,21.78962516784668,21.882921373487765,21.52010648673854,21.810357130740016,2981000
2000-02-04,22.333843231201172,22.453054763121003,21.893282381458356,21.893282381458356,5152000
2000-02-07,23.043930053710938,23.0491134401768,22.618917671469973,22.800325125542766,2553000
2000-02-08,22.681114196777344,22.774408822270267,22.15244043432435,22.31829930380889,4203000
2000-02-09,22.193904876708984,22.515254245999824,22.15243937045552,22.463423549493495,2394000
2000-02-10,22.142072677612305,22.173169828007943,21.89328440221663,22.033227905985896,1605000
2000-02-11,21.654865264892578,22.05914566344129,21.56157064001455,21.9762162292456,1125000
2000-02-14,21.255773544311523,21.395715506054184,21.12101338794077,21.395715506054184,1942000
2000-02-15,21.39570426940918,21.431986378443856,20.89813100219949,21.224663656524204,1949000
2000-02-16,20.7789249420166,21.126191225079815,20.73227763369025,21.126191225079815,2569000
2000-02-17,21.727434158325195,21.929573609986004,21.561575254438115,21.561575254438115,3034000
2000-02-18,22.17317008972168,22.74330771933044,22.17317008972168,22.287198248342328,4365000
2000-02-22,22.727758407592773,23.03355917358039,22.515252254365045,22.63964559862729,4230000
2000-02-23,23.292713165283203,23.292713165283203,22.55671827223278,22.55671827223278,2993000
2000-02-24,23.059473037719727,23.22014848870078,22.313111438360906,22.681109643705355,4620000
2000-02-25,22.878061294555664,23.199412135654043,22.815865429074773,23.05946867026515,2383000
2000-02-28,23.9820556640625,24.35523560160578,23.137214652314558,23.137214652314558,6513000
2000-02-29,25.998271942138672,26.10193331225745,25.293374308981594,25.625090377012285,8046000
2000-03-01,25.873884201049805,25.956812049653074,24.894282776513663,24.96166363068797,7833000
2000-03-02,24.873550415039062,25.25191544064326,24.55220105249209,25.127520506240767,3434000
2000-03-03,24.83208656311035,24.83208656311035,24.137555558844916,24.17383609669433,3408000
2000-03-06,22.546354293823242,23.297899436950683,22.432326122167005,23.106125216005402,6061000
2000-03-07,22.183534622192383,22.883248915182097,22.05914128645474,22.56708139977807,5044000
2000-03-08,22.903987884521484,23.06466338399546,22.30793478583396,22.44269493319109,4257000
2000-03-09,21.48381996154785,22.380490222298434,20.799654254078387,22.380490222298434,10166000
2000-03-10,20.213972091674805,20.96033382178717,19.882255942930126,20.58715374760467,9135000
2000-03-13,18.700510025024414,19.64382909999193,17.995613992902463,18.078541821330738,10939000
2000-03-14,20.011837005615234,20.51977731970404,19.98592165118728,20.094766456134227,8488000
2000-03-15,21.141738891601562,21.198752968992302,20.65453070450717,21.001796972639415,6601000
2000-03-16,20.732280731201172,21.1987570476532,20.359099045340553,21.188390274588603,6578000
2000-03-17,20.571596145629883,20.892946987611218,20.405738922144995,20.70117284292126,2285000
2000-03-20,20.51458740234375,20.690813021756533,20.343546750263346,20.55086951969278,1553000
2000-03-21,20.33836555480957,20.33836555480957,20.001466018207804,20.16214149816735,2124000
2000-03-22,20.607887268066406,20.644167810130092,20.421296425997138,20.421296425997138,2585000
2000-03-23,20.027376174926758,20.17768484363094,19.866700736623546,20.151769501380322,2106000
2000-03-24,20.05329132080078,20.11548877429196,19.89261588407102,20.02219259405519,1592000
2000-03-27,20.587156295776367,20.80484430389028,20.442029375286197,20.442029375286197,2132000
2000-03-28,20.48717498779297,20.679129403376702,20.39379269997225,20.39898095668088,1530000
2000-03-29,21.203105926513672,21.581824815218198,21.088970642755285,21.581824815218198,5862000
2000-03-30,22.287385940551758,22.60903720399215,22.03836392218825,22.03836392218825,5412000
2000-03-31,23.252342224121094,23.38204069350322,22.91512620372756,23.075951039174786,3549000
2000-04-03,22.837305068969727,23.449481156123962,22.75429773938107,23.449481156123962,3701000
2000-04-04,22.30812644958496,23.190075634801108,21.74782995344654,22.941055321680153,9000000
2000-04-05,22.147310256958008,22.235505849199846,22.002048604924322,22.15249851236634,3678000
2000-04-06,22.531217575073242,22.61941316796642,22.183626625413723,22.28738540141357,2161000
2000-04-07,22.57790756225586,22.629786943986012,22.245878252596412,22.245878252596412,2209000
2000-04-10,22.437829971313477,22.77504591307888,22.411890283485366,22.71279002899826,2018000
2000-04-11,21.830848693847656,22.121373621311818,21.758217857789987,22.121373621311818,2422000
2000-04-12,21.348371505737305,21.991675701049633,21.312055295155886,21.893105165057456,4084000
2000-04-13,20.88145637512207,21.32243123024887,20.876268119003292,21.16679304608647,2614000
2000-04-14,19.382144927978516,20.741384312130617,19.382144927978516,20.689504910066024,5469000
2000-04-17,20.461225509643555,20.461225509643555,18.52093717034883,19.029354420163283,6907000
2000-04-18,20.284841537475586,20.290029793134394,19.683040295420433,19.952813757345158,6646000
2000-04-19,19.68304443359375,20.08251645480723,19.68304443359375,20.025448797029064,2123000
2000-04-20,19.631162643432617,19.999506662554374,19.548155295242246,19.838680222291806,1940000
2000-04-24,19.034549713134766,19.485901083029685,18.593574855535575,19.319886385698947,4123000
2000-04-25,19.84905242919922,19.999502324592324,19.672662842075123,19.85942735595173,6438000
2000-04-26,19.548158645629883,19.79199247587386,19.506655756038196,19.75567626005582,1984000
2000-04-27,19.3665714263916,19.371759680905782,18.96710116052756,18.96710116052756,2475000
2000-04-28,18.72846031188965,19.465148303711622,18.583198649135102,19.340636497655293,4079000
2000-05-01,19.205751419067383,19.491088073096982,18.84259567757517,18.84259567757517,3350000
2000-05-02,18.68177032470703,19.081240713456378,18.68177032470703,19.081240713456378,1694000
2000-05-03,18.240787506103516,18.769956150397235,18.095524314609577,18.609131363834102,3546000
2000-05-04,18.240787506103516,18.386049114364663,18.214847820111682,18.386049114364663,2049000
2000-05-05,18.391239166259766,18.55725380613131,18.095526083748872,18.220037855269002,4574000
2000-05-08,18.204479217529297,18.323802774846424,17.981398454422127,18.282298309296934,3260000
2000-05-09,17.711620330810547,17.908762928261623,17.61823807844055,17.908762928261623,2361000
2000-05-10,17.53523063659668,17.971017116835906,17.431471875433388,17.815378975090965,3754000
2000-05-11,18.04884147644043,18.069592918107134,17.524859262380158,17.65974600806402,3036000
2000-05-12,18.178539276123047,18.188915788179425,17.929518819104512,18.069592232464892,1497000
2000-05-15,17.89838981628418,17.929517767393953,17.68568399747297,17.70124876464454,1530000
2000-05-16,18.04364585876465,18.09033856250693,17.89838424312806,18.04364585876465,1988000
2000-05-17,17.722002029418945,17.919143101361293,17.638994678988762,17.763504913017275,1252000
2000-05-18,17.26545524597168,17.64936388487336,17.187636184015858,17.64936388487336,2124000
2000-05-19,16.554712295532227,16.917867995476442,16.21749628844117,16.808920968846536,4493000
2000-05-22,15.75577163696289,15.916596482036969,15.449681964312155,15.792086260623691,6392000
2000-05-23,15.475616455078125,15.771329516811473,15.397797394962279,15.63644282929744,3011000
2000-05-24,15.148785591125488,15.190288479999465,14.790818029077828,14.816757730432496,4964000
2000-05-25,15.273294448852539,15.66757819015209,15.273294448852539,15.480812040775083,2507500
2000-05-26,15.055395126342773,15.14877736723119,14.733742370868692,15.107274500888087,1035000
2000-05-30,16.082605361938477,16.09298186965865,15.511932268450337,15.522308776170512,4228500
2000-05-31,15.138401985168457,15.356296007760962,15.055396246307488,15.128027059427328,2389500
2000-06-01,15.190281867980957,15.221409812703946,14.775246826962537,15.107276126363702,2811500
2000-06-02,16.435392379760742,16.725917320375583,16.10336455472959,16.414640937552587,5243500
2000-06-05,16.871177673339844,17.182454002491994,16.601404221448,16.601404221448,4069000
2000-06-06,17.006065368652344,17.421100536485064,16.954185972673255,17.182456581568065,3069000
2000-06-07,17.286211013793945,17.338090396688603,17.037189025959705,17.037189025959705,938500
2000-06-08,16.91268539428711,17.172082409536912,16.829678032760427,17.057947089533503,1294000
2000-06-09,16.69478416442871,16.84004738109826,16.559899040480428,16.746663545403607,972000
2000-06-12,16.435392379760742,16.50802480233962,16.35238661092812,16.497648289618763,800000
2000-06-13,16.19674301147461,16.23824588203324,15.968472473703056,16.22786937277707,1086500
2000-06-14,15.034648895263672,15.709081068732416,15.034648895263672,15.667578183658541,2314500
2000-06-15,15.096899032592773,15.231785732348445,14.993140276355023,15.065771089074854,1725500
2000-06-16,14.982763290405273,15.262913189913952,14.941260422524763,15.262913189913952,1572500
2000-06-19,15.231786727905273,15.366673436477205,15.055397147418786,15.107276528928521,3364500
2000-06-20,15.439303398132324,15.657195838455433,15.356296075671287,15.418551963325312,3381000
2000-06-21,15.65719985961914,15.719455763262053,15.56381758738817,15.688327811440596,3833000
2000-06-22,15.709074974060059,16.09298363659892,15.709074974060059,16.061855693253477,2354500
2000-06-23,15.615690231323242,15.92696644855892,15.532682923413851,15.91658994135798,873000
2000-06-26,15.626077651977539,15.626077651977539,15.397806999991381,15.605324623081474,1490000
2000-06-27,15.44968318939209,15.594946445254006,15.418556818995633,15.584569932966195,1725500
